,tweet_id,date,time,lang,country_code
288,1356105552896479232,2021-02-01,05:02:13,en,PH
289,1356105554972856320,2021-02-01,05:02:14,en,
291,1356105561654362112,2021-02-01,05:02:15,en,
292,1356105563004956674,2021-02-01,05:02:16,en,
293,1356105563294158853,2021-02-01,05:02:16,en,
297,1356105565525712897,2021-02-01,05:02:16,en,
299,1356105568335790081,2021-02-01,05:02:17,en,
301,1356105570818748417,2021-02-01,05:02:17,en,
302,1356105572576321537,2021-02-01,05:02:18,en,
306,1356105583636738050,2021-02-01,05:02:21,en,
308,1356105589269688325,2021-02-01,05:02:22,en,
310,1356105593216397383,2021-02-01,05:02:23,en,
314,1356105598215970819,2021-02-01,05:02:24,en,
315,1356105599554097152,2021-02-01,05:02:24,en,
316,1356105602825654272,2021-02-01,05:02:25,en,
317,1356105603865833479,2021-02-01,05:02:25,en,
319,1356105606709399552,2021-02-01,05:02:26,en,
321,1356105609490223104,2021-02-01,05:02:27,en,
322,1356105610492698629,2021-02-01,05:02:27,en,
325,1356105614728908802,2021-02-01,05:02:28,en,
328,1356105621762842628,2021-02-01,05:02:30,en,
331,1356105630818336771,2021-02-01,05:02:32,en,
333,1356105633578295296,2021-02-01,05:02:32,en,
334,1356105634005962753,2021-02-01,05:02:33,en,
335,1356105635834847232,2021-02-01,05:02:33,en,
336,1356105636417822720,2021-02-01,05:02:33,en,
338,1356105640351911938,2021-02-01,05:02:34,en,
339,1356105642331746313,2021-02-01,05:02:35,en,
343,1356105644768546823,2021-02-01,05:02:35,en,
344,1356105647662755845,2021-02-01,05:02:36,en,
346,1356105650191757313,2021-02-01,05:02:36,en,
349,1356105652507054086,2021-02-01,05:02:37,en,
350,1356105658462945281,2021-02-01,05:02:38,en,
351,1356105658760761348,2021-02-01,05:02:38,en,
352,1356105661298294785,2021-02-01,05:02:39,en,
353,1356105665605820419,2021-02-01,05:02:40,en,
354,1356105666708992012,2021-02-01,05:02:40,en,
355,1356105671750508545,2021-02-01,05:02:42,en,
356,1356105675819134978,2021-02-01,05:02:42,en,
358,1356105680399323138,2021-02-01,05:02:44,en,
359,1356105683876388865,2021-02-01,05:02:44,en,
360,1356105683947687938,2021-02-01,05:02:44,en,
361,1356105692881453056,2021-02-01,05:02:47,en,
362,1356105693061816320,2021-02-01,05:02:47,en,
365,1356105696262156291,2021-02-01,05:02:47,en,
366,1356105697566617600,2021-02-01,05:02:48,en,
371,1356105703195176961,2021-02-01,05:02:49,en,
372,1356105705825169409,2021-02-01,05:02:50,en,
374,1356105709369360385,2021-02-01,05:02:50,en,
375,1356105712821301252,2021-02-01,05:02:51,en,
376,1356105714452684800,2021-02-01,05:02:52,en,
380,1356105716524863490,2021-02-01,05:02:52,en,
387,1356105727232897025,2021-02-01,05:02:55,en,PK
388,1356105728537329665,2021-02-01,05:02:55,en,
389,1356105728843341826,2021-02-01,05:02:55,en,
391,1356105729564934144,2021-02-01,05:02:55,en,
396,1356105734925258752,2021-02-01,05:02:57,en,
400,1356105743670378497,2021-02-01,05:02:59,en,
401,1356105745578618884,2021-02-01,05:02:59,en,
402,1356105747893866501,2021-02-01,05:03:00,en,
404,1356105748288303106,2021-02-01,05:03:00,en,
405,1356105748485296128,2021-02-01,05:03:00,en,
406,1356105751807180802,2021-02-01,05:03:01,en,
408,1356105752960622593,2021-02-01,05:03:01,en,
409,1356105753854169090,2021-02-01,05:03:01,en,
410,1356105754424434689,2021-02-01,05:03:01,en,
411,1356105755011686401,2021-02-01,05:03:01,en,
413,1356105759411630081,2021-02-01,05:03:02,en,
414,1356105761252921350,2021-02-01,05:03:03,en,
415,1356105761512849416,2021-02-01,05:03:03,en,
416,1356105764230680583,2021-02-01,05:03:04,en,
419,1356105773638705155,2021-02-01,05:03:06,en,
420,1356105774771146753,2021-02-01,05:03:06,en,
421,1356105777434427396,2021-02-01,05:03:07,en,
422,1356105779846148097,2021-02-01,05:03:07,en,
425,1356105785894297602,2021-02-01,05:03:09,en,
426,1356105788889169921,2021-02-01,05:03:09,en,
427,1356105790218776577,2021-02-01,05:03:10,en,
428,1356105790470275075,2021-02-01,05:03:10,en,
430,1356105800519983104,2021-02-01,05:03:12,en,
431,1356105808325476352,2021-02-01,05:03:14,en,
432,1356105808497438720,2021-02-01,05:03:14,en,
434,1356105810523291649,2021-02-01,05:03:15,en,
435,1356105815367823364,2021-02-01,05:03:16,en,
436,1356105820111572993,2021-02-01,05:03:17,en,
437,1356105820660879360,2021-02-01,05:03:17,en,
438,1356105821625708544,2021-02-01,05:03:17,en,
440,1356105825354469376,2021-02-01,05:03:18,en,
443,1356105827422150656,2021-02-01,05:03:19,en,PH
445,1356105831058710529,2021-02-01,05:03:20,en,
446,1356105831658508292,2021-02-01,05:03:20,en,
448,1356105837920595970,2021-02-01,05:03:21,en,
450,1356105839547998211,2021-02-01,05:03:22,en,
